date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2016-11-12,INTC,-1,3,-4,12,0
2016-11-11,INTC,2,5,-3,9,0
2016-11-10,INTC,3,5,-2,9,0
2016-11-09,INTC,1,4,-4,10,0
2016-11-08,INTC,3,5,-1,12,0
2016-11-07,INTC,2,5,-3,21,1
2016-11-06,INTC,-5,-5,-5,3,1
2016-11-05,INTC,1,5,-4,7,1
2016-11-04,INTC,1,4,-4,26,1
2016-11-03,INTC,2,5,-3,25,1
2016-11-02,INTC,-1,3,-5,21,1
2016-11-01,INTC,1,5,-4,28,1
2016-10-31,INTC,1,5,-4,19,2
2016-10-30,INTC,1,5,-4,11,1
2016-10-29,INTC,-1,4,-4,12,1
2016-10-28,INTC,1,5,-4,21,1
2016-10-27,INTC,3,5,-1,31,1
2016-10-26,INTC,1,5,-4,33,1
2016-10-25,INTC,2,5,-1,50,2
2016-10-24,INTC,2,5,-2,20,2
2016-10-23,INTC,3,5,-1,6,1
2016-10-22,INTC,-2,1,-5,17,1
2016-10-21,INTC,1,4,-3,31,1
2016-10-20,INTC,2,5,-2,76,4
2016-10-19,INTC,-1,4,-4,202,10
2016-10-18,INTC,1,5,-3,65,10
2016-10-17,INTC,3,5,-1,17,9
2016-10-16,INTC,2,5,-3,13,8
2016-10-15,INTC,2,5,-3,22,5
2016-10-14,INTC,2,5,-2,36,4
2016-10-13,INTC,1,4,-4,25,3
2016-10-12,INTC,1,4,-3,24,2
2016-10-11,INTC,1,5,-3,26,3
2016-10-10,INTC,2,5,-3,10,2
2016-10-09,INTC,3,5,-1,5,1
2016-10-08,INTC,4,5,2,8,1
2016-10-07,INTC,1,5,-3,13,1
2016-10-06,INTC,2,5,-2,21,2
2016-10-05,INTC,1,4,-4,16,1
2016-10-04,INTC,1,5,-4,12,1
2016-10-03,INTC,1,5,-4,23,3
2016-10-02,INTC,-1,4,-4,5,1
2016-10-01,INTC,2,5,-3,4,1
2016-09-30,INTC,-2,2,-5,22,2
2016-09-29,INTC,2,5,-2,10,1
2016-09-28,INTC,-1,4,-5,40,4
2016-09-27,INTC,2,5,-3,25,3
2016-09-26,INTC,2,5,-3,15,3
2016-09-25,INTC,1,5,-5,5,2
2016-09-24,INTC,2,5,-3,8,2
2016-09-23,INTC,1,5,-4,23,2
2016-09-22,INTC,3,5,-2,24,2
2016-09-21,INTC,1,5,-3,21,2
2016-09-20,INTC,2,5,-3,69,8
2016-09-19,INTC,1,5,-3,55,10
2016-09-18,INTC,-2,2,-5,9,10
2016-09-17,INTC,2,5,-2,30,8
2016-09-16,INTC,3,5,1,80,10
2016-09-15,INTC,1,5,-4,28,4
2016-09-14,INTC,1,4,-4,16,2
2016-09-13,INTC,2,5,-2,18,2
2016-09-12,INTC,3,5,-1,18,4
2016-09-11,INTC,-2,1,-5,5,1
2016-09-10,INTC,1,5,-5,2,0
2016-09-09,INTC,0,0,0,0,0
2016-09-08,INTC,0,0,0,0,0
2016-09-07,INTC,0,0,0,0,0
2016-09-06,INTC,0,0,0,0,0
2016-09-05,INTC,5,5,5,1,1
2016-09-04,INTC,2,5,-1,6,2
2016-09-03,INTC,-3,2,-5,5,2
2016-09-02,INTC,3,5,-1,25,3
2016-09-01,INTC,-1,4,-4,21,3
2016-08-31,INTC,3,5,-1,24,3
2016-08-30,INTC,2,5,-2,29,4
2016-08-29,INTC,2,5,-2,15,6
2016-08-28,INTC,-1,4,-4,11,5
2016-08-27,INTC,1,5,-4,12,3
2016-08-26,INTC,2,5,-3,23,3
2016-08-25,INTC,2,5,-3,18,2
2016-08-24,INTC,-1,4,-4,21,3
2016-08-23,INTC,2,5,-2,21,3
2016-08-22,INTC,1,5,-4,14,5
2016-08-21,INTC,3,5,-1,7,4
2016-08-20,INTC,3,5,-1,16,4
2016-08-19,INTC,1,5,-3,30,3
2016-08-18,INTC,1,5,-3,55,7
2016-08-17,INTC,1,4,-3,69,9
2016-08-16,INTC,1,5,-3,44,5
2016-08-15,INTC,3,5,-1,17,4
2016-08-14,INTC,1,4,-3,10,3
2016-08-13,INTC,1,4,-4,8,2
2016-08-12,INTC,2,5,-3,24,3
2016-08-11,INTC,-1,3,-5,13,1
2016-08-10,INTC,2,4,-2,31,7
2016-08-09,INTC,2,4,-1,22,4
2016-08-08,INTC,-1,3,-3,24,5
2016-08-07,INTC,0,0,0,0,0
2016-08-06,INTC,0,0,0,0,0
2016-08-05,INTC,1,3,-2,12,2
2016-08-04,INTC,-2,1,-4,27,6
2016-08-03,INTC,1,4,-2,43,8
2016-08-02,INTC,1,3,-2,45,8
2016-08-01,INTC,-1,2,-2,11,6
2016-07-31,INTC,1,3,-2,10,5
2016-07-30,INTC,1,3,-2,13,4
2016-07-29,INTC,1,4,-2,20,3
2016-07-28,INTC,1,3,-2,35,3
2016-07-27,INTC,1,3,-2,52,4
2016-07-26,INTC,1,3,-3,49,4
2016-07-25,INTC,1,4,-2,25,5
2016-07-24,INTC,1,3,-2,15,5
2016-07-23,INTC,2,3,-1,18,4
2016-07-22,INTC,-1,3,-3,62,5
2016-07-21,INTC,-1,3,-3,107,10
2016-07-20,INTC,1,3,-2,64,10
2016-07-19,INTC,-1,3,-3,37,6
2016-07-18,INTC,1,3,-2,45,10
2016-07-17,INTC,-1,2,-2,11,8
2016-07-16,INTC,1,4,-2,22,7
2016-07-15,INTC,1,4,-2,37,6
2016-07-14,INTC,1,3,-2,48,9
2016-07-13,INTC,2,3,-1,45,8
2016-07-12,INTC,2,3,-1,53,10
2016-07-11,INTC,2,3,-1,23,10
2016-07-10,INTC,2,4,-1,8,8
2016-07-09,INTC,1,3,-2,16,7
2016-07-08,INTC,1,4,-3,26,2
2016-07-07,INTC,1,3,-2,40,3
2016-07-06,INTC,-1,3,-3,26,2
2016-07-05,INTC,1,3,-2,36,3
2016-07-04,INTC,1,3,-2,24,5
2016-07-03,INTC,1,3,-2,9,6
2016-07-02,INTC,2,3,-1,19,6
2016-07-01,INTC,-1,3,-3,102,10
2016-06-30,INTC,1,3,-2,76,10
2016-06-29,INTC,1,3,-2,18,3
2016-06-28,INTC,-1,2,-3,24,4
2016-06-27,INTC,-1,2,-2,57,10
2016-06-26,INTC,-1,1,-2,14,7
2016-06-25,INTC,1,2,-2,11,5
2016-06-24,INTC,-1,3,-3,22,5
2016-06-23,INTC,2,5,-3,30,8
2016-06-22,INTC,1,5,-4,14,4
2016-06-21,INTC,-1,4,-4,21,6
2016-06-20,INTC,-1,4,-4,24,6
2016-06-19,INTC,3,4,2,3,3
2016-06-18,INTC,3,4,2,3,7
2016-06-17,INTC,-1,4,-5,16,10
2016-06-16,INTC,2,5,-3,30,8
2016-06-15,INTC,1,5,-4,14,4
2016-06-14,INTC,1,3,-2,36,7
2016-06-13,INTC,-1,2,-2,33,10
2016-06-12,INTC,1,3,-3,14,9
2016-06-11,INTC,1,2,-2,16,8
2016-06-10,INTC,1,3,-3,50,10
2016-06-09,INTC,2,4,-2,21,4
2016-06-08,INTC,2,4,-1,20,3
2016-06-07,INTC,1,4,-2,32,5
2016-06-06,INTC,1,3,-2,15,5
2016-06-05,INTC,1,4,-3,10,3
2016-06-04,INTC,3,5,2,3,2
2016-06-03,INTC,1,3,-2,24,4
2016-06-02,INTC,1,3,-2,43,7
2016-06-01,INTC,1,4,-2,53,9
2016-05-31,INTC,2,3,-1,55,10
2016-05-30,INTC,2,4,-1,27,10
2016-05-29,INTC,1,3,-2,7,6
2016-05-28,INTC,-1,2,-3,6,6
2016-05-27,INTC,1,4,-2,37,9
2016-05-26,INTC,2,4,-1,38,9
2016-05-25,INTC,1,3,-2,36,8
2016-05-24,INTC,2,4,-2,39,7
2016-05-23,INTC,-2,2,-4,30,8
2016-05-22,INTC,1,2,-1,6,4
2016-05-21,INTC,1,2,-2,10,4
2016-05-20,INTC,1,3,-2,32,5
2016-05-19,INTC,1,3,-2,35,6
2016-05-18,INTC,2,3,-1,43,7
2016-05-17,INTC,2,4,-2,51,9
2016-05-16,INTC,-1,2,-2,55,10
2016-05-15,INTC,-1,2,-3,38,10
2016-05-14,INTC,-1,3,-3,28,10
2016-05-13,INTC,-1,2,-3,52,9
2016-05-12,INTC,-1,2,-2,53,10
2016-05-11,INTC,1,3,-2,30,6
2016-05-10,INTC,1,3,-2,39,7
2016-05-09,INTC,1,3,-2,42,10
2016-05-08,INTC,-1,3,-3,26,10
2016-05-07,INTC,1,3,-2,24,8
2016-05-06,INTC,1,3,-2,37,7
2016-05-05,INTC,-1,2,-2,50,10
2016-05-04,INTC,-1,2,-3,36,7
2016-05-03,INTC,1,3,-2,34,7
2016-05-02,INTC,-1,2,-3,46,10
2016-05-01,INTC,-1,2,-2,16,10
2016-04-30,INTC,1,4,-2,23,10
2016-04-29,INTC,-1,2,-3,43,5
2016-04-28,INTC,1,3,-2,42,3
2016-04-27,INTC,1,3,-2,39,1
2016-04-26,INTC,1,3,-2,41,1
2016-04-25,INTC,1,3,-2,43,3
2016-04-24,INTC,-1,2,-3,13,2
2016-04-23,INTC,-1,1,-3,27,2
2016-04-22,INTC,-1,3,-3,80,3
2016-04-21,INTC,1,3,-2,136,5
2016-04-20,INTC,-1,2,-3,241,10
2016-04-19,INTC,1,3,-3,140,10
2016-04-18,INTC,1,3,-2,64,10
2016-04-17,INTC,1,4,-2,16,10
2016-04-16,INTC,-1,3,-4,21,8
2016-04-15,INTC,1,3,-3,49,9
2016-04-14,INTC,1,3,-2,52,10
2016-04-13,INTC,1,3,-2,36,8
2016-04-12,INTC,2,3,-1,31,5
2016-04-11,INTC,1,4,-2,29,7
2016-04-10,INTC,2,4,-2,10,3
2016-04-09,INTC,1,3,-1,8,2
2016-04-08,INTC,1,3,-2,16,2
2016-04-07,INTC,1,3,-2,33,5
2016-04-06,INTC,1,3,-2,42,6
2016-04-05,INTC,1,4,-2,52,8
2016-04-04,INTC,1,3,-1,62,10
2016-04-03,INTC,1,3,-2,7,8
2016-04-02,INTC,1,2,-2,19,9
2016-04-01,INTC,1,3,-2,46,10
2016-03-31,INTC,-1,3,-3,30,8
2016-03-30,INTC,1,3,-2,34,6
2016-03-29,INTC,1,3,-2,29,2
2016-03-28,INTC,1,3,-2,33,5
2016-03-27,INTC,2,4,-1,15,3
2016-03-26,INTC,-1,3,-3,12,2
2016-03-25,INTC,-1,3,-3,19,1
2016-03-24,INTC,1,4,-2,25,2
2016-03-23,INTC,1,3,-3,51,4
2016-03-22,INTC,-1,2,-3,108,10
2016-03-21,INTC,1,4,-2,53,10
2016-03-20,INTC,2,3,-1,7,4
2016-03-19,INTC,2,4,-1,9,3
2016-03-18,INTC,1,3,-2,25,4
2016-03-17,INTC,1,3,-2,58,10
2016-03-16,INTC,3,5,-1,34,6
2016-03-15,INTC,2,4,-1,26,5
2016-03-14,INTC,2,4,1,25,8
2016-03-13,INTC,2,4,-1,5,5
2016-03-12,INTC,-1,2,-3,12,5
2016-03-11,INTC,1,3,-2,30,6
