date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2016-10-30,BA,-2,2,-5,24,5
2016-10-29,BA,-3,2,-5,52,5
2016-10-28,BA,-2,3,-5,54,3
2016-10-27,BA,-1,3,-5,155,8
2016-10-26,BA,-1,4,-5,147,8
2016-10-25,BA,1,5,-4,52,3
2016-10-24,BA,-1,4,-4,73,7
2016-10-23,BA,1,5,-4,16,3
2016-10-22,BA,2,5,-3,34,3
2016-10-21,BA,-1,4,-5,44,2
2016-10-20,BA,1,4,-4,40,2
2016-10-19,BA,-3,1,-5,56,3
2016-10-18,BA,-1,4,-5,37,2
2016-10-17,BA,-1,3,-5,38,3
2016-10-16,BA,-2,3,-5,10,2
2016-10-15,BA,-2,2,-5,21,3
2016-10-14,BA,-1,3,-5,55,3
2016-10-13,BA,1,4,-4,36,2
2016-10-12,BA,1,5,-4,80,4
2016-10-11,BA,1,4,-4,49,2
2016-10-10,BA,1,5,-4,24,4
2016-10-09,BA,2,2,2,1,4
2016-10-08,BA,-1,4,-4,53,6
2016-10-07,BA,1,5,-4,84,4
2016-10-06,BA,-3,1,-5,69,4
2016-10-05,BA,1,4,-4,53,3
2016-10-04,BA,-1,4,-5,31,1
2016-10-03,BA,-1,4,-5,29,2
2016-10-02,BA,-2,3,-5,6,1
2016-10-01,BA,1,5,-3,19,2
2016-09-30,BA,-2,3,-5,44,2
2016-09-29,BA,1,5,-4,81,4
2016-09-28,BA,-4,-1,-5,155,10
2016-09-27,BA,-1,4,-5,35,3
2016-09-26,BA,-3,1,-5,25,7
2016-09-25,BA,2,5,-2,17,5
2016-09-24,BA,1,5,-3,34,5
2016-09-23,BA,-1,3,-4,45,4
2016-09-22,BA,1,4,-4,95,10
2016-09-21,BA,-1,4,-4,48,6
2016-09-20,BA,1,5,-4,36,5
2016-09-19,BA,-1,4,-5,24,9
2016-09-18,BA,3,5,-1,26,7
2016-09-17,BA,1,5,-4,15,3
2016-09-16,BA,-1,4,-5,24,3
2016-09-15,BA,-2,3,-5,71,10
2016-09-14,BA,1,5,-4,38,5
2016-09-13,BA,-1,4,-5,58,8
2016-09-12,BA,1,5,-4,43,9
2016-09-11,BA,-3,1,-5,11,3
2016-09-10,BA,1,5,-3,10,1
2016-09-09,BA,0,0,0,0,0
2016-09-08,BA,0,0,0,0,0
2016-09-07,BA,0,0,0,0,0
2016-09-06,BA,0,0,0,0,0
2016-09-05,BA,-3,2,-5,8,3
2016-09-04,BA,-1,5,-5,9,3
2016-09-03,BA,1,5,-4,12,4
2016-09-02,BA,-1,4,-5,41,5
2016-09-01,BA,1,5,-4,42,4
2016-08-31,BA,-1,3,-5,71,6
2016-08-30,BA,-3,1,-5,41,3
2016-08-29,BA,-1,3,-5,35,8
2016-08-28,BA,-2,3,-5,24,6
2016-08-27,BA,-2,3,-5,22,3
2016-08-26,BA,-3,2,-5,34,3
2016-08-25,BA,-1,4,-5,39,2
2016-08-24,BA,-1,3,-5,26,1
2016-08-23,BA,2,5,-3,33,2
2016-08-22,BA,2,5,-3,29,4
2016-08-21,BA,-1,4,-5,11,3
2016-08-20,BA,-2,3,-5,29,3
2016-08-19,BA,-2,3,-5,51,3
2016-08-18,BA,-1,4,-4,43,2
2016-08-17,BA,-2,3,-5,21,1
2016-08-16,BA,1,5,-4,25,1
2016-08-15,BA,-2,3,-5,25,2
2016-08-14,BA,2,4,-2,3,1
2016-08-13,BA,3,5,-2,7,0
2016-08-12,BA,-1,3,-5,16,1
2016-08-11,BA,3,5,-1,4,0
2016-08-10,BA,2,4,-1,33,2
2016-08-09,BA,-1,1,-2,29,2
2016-08-08,BA,1,3,-2,41,3
2016-08-07,BA,0,0,0,0,0
2016-08-06,BA,0,0,0,0,0
2016-08-05,BA,-1,2,-3,86,6
2016-08-04,BA,-1,1,-3,90,7
2016-08-03,BA,-2,1,-3,127,7
2016-08-02,BA,1,3,-2,47,2
2016-08-01,BA,-1,2,-3,42,5
2016-07-31,BA,1,2,-2,9,3
2016-07-30,BA,1,4,-2,30,3
2016-07-29,BA,1,3,-2,47,2
2016-07-28,BA,-1,3,-3,100,6
2016-07-27,BA,-1,2,-3,160,10
2016-07-26,BA,-1,2,-3,119,10
2016-07-25,BA,-1,2,-2,52,10
2016-07-24,BA,1,2,-2,34,10
2016-07-23,BA,-1,2,-3,34,9
2016-07-22,BA,-2,1,-4,78,10
2016-07-21,BA,-1,2,-4,39,4
2016-07-20,BA,1,3,-2,30,2
2016-07-19,BA,2,4,-1,28,1
2016-07-18,BA,-1,2,-2,57,6
2016-07-17,BA,-1,1,-3,40,5
2016-07-16,BA,1,3,-2,53,4
2016-07-15,BA,1,2,-2,72,3
2016-07-14,BA,-1,2,-3,89,4
2016-07-13,BA,-1,2,-3,145,6
2016-07-12,BA,1,3,-2,163,7
2016-07-11,BA,1,3,-2,216,10
2016-07-10,BA,-1,2,-3,76,10
2016-07-09,BA,-1,2,-3,38,9
2016-07-08,BA,-1,2,-2,56,8
2016-07-07,BA,-1,2,-2,67,10
2016-07-06,BA,-1,2,-3,55,10
2016-07-05,BA,-2,1,-4,45,7
2016-07-04,BA,-1,2,-3,36,8
2016-07-03,BA,1,3,-2,19,5
2016-07-02,BA,1,3,-3,21,4
2016-07-01,BA,2,4,-2,34,3
2016-06-30,BA,1,3,-2,53,5
2016-06-29,BA,1,3,-2,32,3
2016-06-28,BA,-1,1,-3,59,5
2016-06-27,BA,-1,2,-3,89,10
2016-06-26,BA,1,3,-2,27,7
2016-06-25,BA,1,3,-2,34,5
2016-06-24,BA,-1,2,-3,44,4
2016-06-23,BA,-1,3,-5,37,4
2016-06-22,BA,1,4,-4,42,5
2016-06-21,BA,-1,4,-5,33,4
2016-06-20,BA,-2,3,-5,28,3
2016-06-19,BA,1,4,-3,16,4
2016-06-18,BA,1,4,-4,19,3
2016-06-17,BA,-2,3,-5,19,2
2016-06-16,BA,-1,3,-5,37,4
2016-06-15,BA,1,4,-4,42,5
2016-06-14,BA,-1,1,-3,37,5
2016-06-13,BA,-1,2,-3,33,10
2016-06-12,BA,1,2,-1,10,10
2016-06-11,BA,1,3,-2,44,10
2016-06-10,BA,1,3,-2,69,9
2016-06-09,BA,-1,2,-2,60,8
2016-06-08,BA,-1,2,-2,74,10
2016-06-07,BA,-1,2,-3,58,8
2016-06-06,BA,-1,2,-2,55,10
2016-06-05,BA,1,3,-2,20,9
2016-06-04,BA,-1,2,-4,24,8
2016-06-03,BA,-1,3,-3,64,9
2016-06-02,BA,1,3,-3,44,6
2016-06-01,BA,1,3,-2,70,10
2016-05-31,BA,-1,2,-3,69,10
2016-05-30,BA,1,3,-2,51,9
2016-05-29,BA,1,3,-1,15,6
2016-05-28,BA,-1,2,-4,38,5
2016-05-27,BA,1,3,-2,55,4
2016-05-26,BA,1,3,-2,66,4
2016-05-25,BA,-1,2,-3,39,2
2016-05-24,BA,1,3,-2,41,2
2016-05-23,BA,-1,2,-3,111,10
2016-05-22,BA,-1,2,-3,39,6
2016-05-21,BA,1,2,-2,38,4
2016-05-20,BA,-1,2,-3,69,4
2016-05-19,BA,-2,1,-3,159,10
2016-05-18,BA,1,3,-2,38,3
2016-05-17,BA,1,3,-2,51,4
2016-05-16,BA,1,3,-3,106,10
2016-05-15,BA,1,3,-2,19,6
2016-05-14,BA,-2,-1,-4,13,5
2016-05-13,BA,-1,2,-3,49,6
2016-05-12,BA,-1,2,-2,74,10
2016-05-11,BA,1,3,-2,45,6
2016-05-10,BA,1,3,-2,70,10
2016-05-09,BA,-1,2,-3,43,10
2016-05-08,BA,1,2,-1,17,10
2016-05-07,BA,1,3,-1,14,8
2016-05-06,BA,2,4,-2,46,10
2016-05-05,BA,1,3,-2,45,3
2016-05-04,BA,-1,2,-3,41,3
2016-05-03,BA,-1,2,-2,42,3
2016-05-02,BA,1,2,-2,45,6
2016-05-01,BA,1,3,-2,17,4
2016-04-30,BA,-1,2,-2,26,3
2016-04-29,BA,-1,2,-3,38,2
2016-04-28,BA,1,3,-2,119,9
2016-04-27,BA,-1,2,-3,127,10
2016-04-26,BA,1,3,-3,102,10
2016-04-25,BA,-1,2,-3,96,10
2016-04-24,BA,1,2,-2,46,10
2016-04-23,BA,1,4,-3,33,9
2016-04-22,BA,1,3,-2,83,10
2016-04-21,BA,1,3,-2,52,6
2016-04-20,BA,-1,2,-3,77,10
2016-04-19,BA,-1,2,-3,67,8
2016-04-18,BA,-1,2,-3,46,10
2016-04-17,BA,-1,2,-3,18,9
2016-04-16,BA,1,3,-2,29,8
2016-04-15,BA,1,3,-2,65,8
2016-04-14,BA,-1,3,-3,39,5
2016-04-13,BA,-1,2,-3,41,5
2016-04-12,BA,1,2,-2,76,9
2016-04-11,BA,-1,2,-3,60,10
2016-04-10,BA,1,3,-2,22,8
2016-04-09,BA,1,3,-2,24,7
2016-04-08,BA,1,3,-3,75,8
2016-04-07,BA,-1,2,-3,39,4
2016-04-06,BA,1,3,-2,59,5
2016-04-05,BA,-1,2,-3,79,6
2016-04-04,BA,1,3,-3,86,10
2016-04-03,BA,-1,2,-3,42,7
2016-04-02,BA,1,3,-2,23,4
2016-04-01,BA,1,3,-3,51,4
2016-03-31,BA,1,3,-2,39,3
2016-03-30,BA,-1,2,-2,117,9
2016-03-29,BA,-1,2,-3,50,3
2016-03-28,BA,-1,2,-3,36,7
2016-03-27,BA,1,3,-2,30,6
2016-03-26,BA,-1,1,-3,32,2
2016-03-25,BA,1,3,-2,45,1
2016-03-24,BA,-1,2,-3,127,4
2016-03-23,BA,-1,2,-3,63,2
2016-03-22,BA,-1,2,-3,42,1
2016-03-21,BA,-1,2,-3,84,10
2016-03-20,BA,-2,1,-4,85,10
2016-03-19,BA,-2,1,-3,266,10
2016-03-18,BA,2,4,-2,38,4
2016-03-17,BA,1,3,-2,78,10
2016-03-16,BA,-1,2,-3,70,5
2016-03-15,BA,-1,2,-2,50,4
2016-03-14,BA,-1,2,-2,61,9
2016-03-13,BA,-1,1,-3,39,6
2016-03-12,BA,-1,2,-2,32,4
2016-03-11,BA,1,3,-2,62,4
2016-03-10,BA,1,2,-2,57,3
2016-03-09,BA,1,3,-1,117,6
2016-03-08,BA,-1,1,-3,118,6
2016-03-07,BA,-1,2,-3,145,10
2016-03-06,BA,-1,2,-3,88,10
2016-03-05,BA,-1,3,-3,78,7
2016-03-04,BA,-1,2,-3,117,6
2016-03-03,BA,-1,2,-3,186,10
2016-03-02,BA,1,2,-2,161,10
2016-03-01,BA,1,3,-2,56,4
2016-02-29,BA,-1,3,-3,58,10
2016-02-28,BA,1,3,-2,20,7
2016-02-27,BA,-1,2,-2,39,6
2016-02-26,BA,-1,2,-3,73,6
2016-02-25,BA,1,3,-3,93,8
2016-02-24,BA,-1,2,-3,95,5
2016-02-23,BA,-1,2,-3,114,6
2016-02-22,BA,1,3,-2,73,7
2016-02-21,BA,1,3,-2,27,5
2016-02-20,BA,-1,2,-3,35,5
2016-02-19,BA,1,3,-2,110,6
2016-02-18,BA,-1,2,-3,95,5
