date,time,title,abstract
2014-04-22,9:27 PM,"US STOCKS-Earnings, healthcare give Wall St sixth straight gain","* Dow up 0.4 pct; S&P 500 up 0.4 pct; Nasdaq up 1 pct   (Adds Gilead earnings, updates volume)"
2014-04-22,8:25 PM,"US STOCKS-Wall St up for sixth straight session on earnings, healthcare","* Indexes up: Dow 0.4 pct, S&P 0.41 pct, Nasdaq 0.97 pct   (Updates to close)"
2014-04-22,6:05 PM,"US STOCKS-Earnings, healthcare help lift Wall Street","* Indexes up: Dow 0.68 pct, S&P 0.67 pct, Nasdaq 1.13 pct   (Updates to mid-afternoon, changes byline)"
2014-04-22,4:00 PM,US STOCKS-Wall St gains on earnings; S&P up for 6th straight day,"* Indexes up: Dow 0.6 pct, S&P 0.5 pct, Nasdaq 0.9 pct   (Updates to midday trading)"
2014-04-22,3:56 PM,Social media shares rally after Credit Suisse upgrades Facebook,"NEW YORK Shares of social media companies rallied on Tuesday after Credit Suisse raised its expectations for Facebook Inc's  long-term average revenue per user (ARPU), saying upcoming products would raise growth in that key metric."
2014-04-22,3:45 PM,Social media shares rally after Credit Suisse upgrades Facebook,"NEW YORK, April 22 Shares of social media companies rallied on Tuesday after Credit Suisse raised its expectations for Facebook Inc's long-term average revenue per user (ARPU), saying upcoming products would raise growth in that key metric."
2014-04-22,2:22 PM,US STOCKS-Wall St gains on earnings; Internet stocks lead,"* Indexes up: Dow 0.4 pct, S&P 0.4 pct, Nasdaq 0.7 pct   (Updates to open, adds housing data)"
2014-04-23,12:35 AM,Tech sector brightens as Apple jumps 8 percent,"SYDNEY Asian markets could get a lift on Thursday after tech heavyweights Apple and Facebook beat Wall Street expectations, sending their stock up sharply and boosting Nasdaq futures. | Video"
2014-04-23,11:47 PM,GLOBAL MARKETS-Tech sector brightens as Apple jumps 8 pct,"SYDNEY, April 24 Asian markets could get a lift on Thursday after tech heavyweights Apple and Facebook beat Wall Street expectations, sending their stock up sharply and boosting Nasdaq futures."
2014-04-23,8:14 PM,Facebook first-quarter revenue grows 72 percent on rising mobile ads,"SAN FRANCISCO Facebook Inc's mobile advertising business accelerated in the first three months of the year, helping the Internet social networking company top Wall Street's financial targets."
2014-04-23,10:02 AM,Deals of the Day- Mergers and acquisitions,"(Adds Vodafone, PTT Exploration, BlackRock, Facebook, SodaStream, Telekom Austria, Sony, Lucchini)"
2014-04-23,8:21 PM,UPDATE 2-Facebook Q1 revenue grows 72 percent on rising mobile ads,"SAN FRANCISCO, April 23 Facebook Inc's  mobile advertising business accelerated in the first three months of the year, helping the Internet social networking company top Wall Street's financial targets."
2014-04-23,8:41 PM,US STOCKS-Wall St slips to snap six-day rally; biotechs weak,"* Dow off 0.08 pct; S&P 500 down 0.22 pct; Nasdaq off 0.83 pct   (Updates to close, adds Facebook earnings)"
2014-04-23,8:07 PM,Facebook Q1 revenue grows 72 percent,"SAN FRANCISCO, April 23 Facebook Inc's  mobile advertising business continued to accelerate in the first three months of the year, helping the Internet social networking company top Wall Street's revenue target."
2014-04-23,3:16 PM,Facebook gets U.S. antitrust approval to buy Oculus,"WASHINGTON Social network giant Facebook Inc has won U.S. antitrust approval to buy Oculus VR Inc, a two-year-old maker of virtual reality goggles, the Federal Trade Commission said on Wednesday."
2014-04-23,3:11 PM,Facebook gets U.S. antitrust approval to buy Oculus,"WASHINGTON, April 23 Social network giant Facebook Inc has won U.S. antitrust approval to buy Oculus VR Inc, a two-year-old maker of virtual reality goggles, the Federal Trade Commission said on Wednesday."
2014-04-23,12:46 PM,US STOCKS-Futures imply lower open after recent rally,"* Key earnings on tap; Apple, Facebook out after the close"
2014-04-24,12:54 AM,"Equity indexes up on Apple, Ukraine tempers rise","NEW YORK Global equity markets rose in choppy trading on Thursday in the wake of strong earnings results from tech heavyweights Apple and Facebook, but worries about rising tensions in Ukraine limited gains and dragged the dollar lower."
2014-04-24,8:31 PM,"GLOBAL MARKETS-Equity indexes up on Apple, Ukraine tempers rise","* U.S. shares pare early gains made on Apple, Facebook rally"
2014-04-24,10:16 AM,Deals of the day- Mergers and acquisitions,"(Adds Neovia Logistics, Elizabeth Arden, Ellaktor, ConAgra Foods, Facebook, NTT DoCoMo, Pioneers Holding)"
2014-04-24,6:46 PM,"GLOBAL MARKETS-Equity indexes up on Apple, Ukraine tempers rise","* U.S. shares pare early gains made on Apple, Facebook rally"
2014-04-24,4:59 PM,Facebook acquires fitness tracking mobile app Moves,"SAN FRANCISCO Facebook Inc has acquired the maker of a mobile app that can track the distance consumers walk or run and measure the calories burned, giving the social networking company an entree into the nascent market for fitness and health monitoring technology."
2014-04-24,4:56 PM,Facebook acquires fitness tracking mobile app Moves,"SAN FRANCISCO, April 24 Facebook Inc has acquired the maker of a mobile app that can track the distance consumers walk or run and measure the calories burned, giving the social networking company an entree into the nascent market for fitness and health monitoring technology."
2014-04-24,3:36 PM,"GLOBAL MARKETS-Global share indexes, dollar, trim gains on Ukraine tension","* U.S. Treasuries yields move lower   (Adds opening of U.S. markets, changes dateline; pvs LONDON)"
2014-04-24,12:51 PM,US STOCKS-Futures point to higher open on tech results,"* Tech results lift Nasdaq futures, Apple and Facebook rally"
2014-04-24,8:10 AM,"GLOBAL MARKETS-Apple, Facebook results buoy world shares","* New Zealand dollar up as central bank hikes rates, again"
2014-04-24,11:40 AM,"US STOCKS-Futures gain on tech results, Apple soars in premarket","* Tech results lift Nasdaq futures, Apple and Facebook rally"
2014-04-28,6:37 PM,Wall Street remains split on Twitter's prospects,SAN FRANCISCO There was a time when Twitter strove not to end up like Facebook.
2014-04-28,6:40 PM,"CORRECTED-US STOCKS-Nasdaq falls, led by Facebook and Amazon; Dow up","(Corrects first paragraph to show Bank of America weighed on S&P 500, not Dow)"
2014-04-29,8:55 PM,"US STOCKS-Wall St ends up on earnings, rebound in high-growth shares","* Indexes up: Dow 0.5 pct, S&P 0.5 pct, Nasdaq 0.7 pct   (Updates with eBay down after the bell)"
2014-04-29,9:05 PM,Ex-Rothschild banker Yao faces tough Alibaba IPO test,"HONG KONG As Alibaba.com prepared for its Hong Kong IPO in late 2007, details of the deal emerged in local media, much to the frustration of Michael Yao, the company's top financial adviser."
