,compound,neg,neu,pos,trading_date
274,0.7217,0.081,0.781,0.138,2016-12-14
275,0.0,0.0,1.0,0.0,2017-01-03
276,0.0,0.0,1.0,0.0,2017-01-04
277,-0.7351,0.108,0.892,0.0,2017-01-22
278,0.296,0.0,0.864,0.136,2017-01-23
279,0.4215,0.0,0.912,0.088,2017-01-24
280,0.8957,0.011,0.889,0.099,2017-01-27
281,0.0,0.0,1.0,0.0,2017-01-28
282,0.8126,0.0,0.749,0.251,2017-01-31
283,0.4767,0.054,0.796,0.15,2017-02-06
284,-0.0258,0.05,0.9,0.05,2017-02-09
285,0.2023,0.0,0.924,0.076,2017-02-11
286,0.296,0.0,0.916,0.084,2017-02-15
287,0.4019,0.0,0.87,0.13,2017-02-21
288,0.0,0.0,1.0,0.0,2017-03-07
289,-0.802,0.205,0.654,0.141,2017-03-08
290,0.5267,0.019,0.919,0.062,2017-03-13
291,0.9127,0.026,0.919,0.055,2017-03-14
292,0.7717,0.01,0.941,0.049,2017-03-15
293,0.4588,0.0,0.948,0.052,2017-03-16
294,0.4767,0.048,0.835,0.116,2017-03-17
295,0.0,0.0,1.0,0.0,2017-03-22
296,-0.4404,0.043,0.927,0.029,2017-03-23
297,-0.5574,0.091,0.85,0.059,2017-03-24
298,0.4767,0.0,0.763,0.237,2017-03-29
299,0.0,0.0,1.0,0.0,2017-03-30
300,0.7351,0.0,0.819,0.181,2017-04-06
301,0.6124,0.042,0.857,0.101,2017-04-07
302,0.3612,0.043,0.855,0.102,2017-04-08
303,0.4215,0.0,0.903,0.097,2017-04-12
304,0.6597,0.066,0.78,0.154,2017-04-17
305,0.0,0.0,1.0,0.0,2017-04-24
306,0.872,0.0,0.895,0.105,2017-04-28
307,0.0,0.0,1.0,0.0,2017-05-04
308,0.0,0.0,1.0,0.0,2017-05-12
309,0.7184,0.029,0.858,0.113,2017-05-16
310,0.0,0.0,1.0,0.0,2017-05-24
311,0.4215,0.0,0.797,0.203,2017-05-31
312,0.0,0.0,1.0,0.0,2017-06-01
313,0.0,0.0,1.0,0.0,2017-06-07
314,0.0,0.0,1.0,0.0,2017-06-12
315,0.3818,0.0,0.936,0.064,2017-06-14
316,0.7351,0.0,0.933,0.067,2017-06-15
317,0.296,0.0,0.934,0.066,2017-06-20
318,0.0,0.022,0.956,0.022,2017-06-21
319,0.836,0.0,0.645,0.355,2017-06-22
320,0.7783,0.0,0.922,0.078,2017-06-26
