,compound,neg,neu,pos,trading_date
202,-0.296,0.035,0.965,0.0,2015-05-26
203,0.5574,0.0,0.854,0.146,2015-05-27
204,-0.4767,0.19,0.678,0.133,2015-05-28
205,0.4215,0.143,0.654,0.202,2015-05-30
206,0.2263,0.146,0.647,0.207,2015-05-31
207,-0.4404,0.11,0.852,0.038,2015-06-04
208,0.4939,0.0,0.802,0.198,2015-06-12
209,0.7906,0.0,0.889,0.111,2015-06-16
210,0.0,0.0,1.0,0.0,2015-06-17
211,0.9849,0.09,0.67,0.241,2015-06-18
212,0.0,0.0,1.0,0.0,2015-06-19
213,0.1027,0.0,0.966,0.034,2015-07-22
214,0.8555,0.151,0.607,0.243,2015-07-28
215,-0.296,0.078,0.922,0.0,2015-08-24
216,-0.9493,0.189,0.811,0.0,2015-08-29
217,0.9333,0.0,0.753,0.247,2015-09-07
218,-0.6597,0.164,0.808,0.028,2015-09-08
219,0.7783,0.0,0.755,0.245,2015-09-16
220,-0.9571,0.234,0.642,0.124,2015-09-18
221,0.7003,0.023,0.924,0.053,2015-09-25
222,0.8957,0.0,0.799,0.201,2015-09-28
223,0.3182,0.0,0.839,0.161,2015-10-01
224,-0.6705,0.132,0.761,0.107,2015-10-03
225,-0.2732,0.044,0.926,0.03,2015-10-08
226,0.6808,0.07,0.841,0.089,2015-10-14
227,-0.1531,0.026,0.974,0.0,2015-10-15
228,0.7506,0.0,0.843,0.157,2015-10-20
229,0.0,0.0,1.0,0.0,2015-10-22
230,0.7003,0.142,0.632,0.227,2015-10-26
231,0.5994,0.143,0.678,0.179,2015-10-27
232,0.5267,0.0,0.901,0.099,2015-10-29
233,0.9618,0.0,0.907,0.093,2015-11-07
234,0.9517,0.0,0.775,0.225,2015-11-12
235,0.8481,0.017,0.92,0.063,2015-11-13
236,0.0,0.0,1.0,0.0,2015-12-14
237,0.9735,0.0,0.648,0.352,2015-12-16
238,0.0,0.0,1.0,0.0,2016-01-07
239,-0.8689,0.136,0.864,0.0,2016-01-12
240,-0.9834,0.275,0.725,0.0,2016-01-15
241,0.0516,0.114,0.747,0.138,2016-01-16
242,0.8555,0.0,0.867,0.133,2016-01-20
243,0.7783,0.0,0.769,0.231,2016-01-23
244,0.8658,0.0,0.815,0.185,2016-01-29
245,0.7964,0.044,0.842,0.114,2016-01-30
246,-0.6486,0.138,0.769,0.093,2016-02-03
247,-0.6124,0.122,0.878,0.0,2016-02-16
248,0.0,0.0,1.0,0.0,2016-02-27
249,0.4019,0.0,0.863,0.137,2016-03-07
250,-0.128,0.063,0.879,0.059,2016-03-08
251,0.5859,0.106,0.762,0.132,2016-03-23
252,-0.6908,0.114,0.829,0.057,2016-03-24
253,-0.872,0.123,0.877,0.0,2016-03-25
254,-0.7717,0.209,0.721,0.07,2016-03-29
255,0.0,0.0,1.0,0.0,2016-04-12
256,0.0,0.0,1.0,0.0,2016-04-14
257,0.25,0.0,0.875,0.125,2016-04-18
258,0.0,0.0,1.0,0.0,2016-04-20
259,0.4019,0.092,0.645,0.263,2016-04-25
260,0.7579,0.124,0.7,0.176,2016-04-28
261,0.3612,0.13,0.686,0.184,2016-04-29
262,-0.8807,0.134,0.808,0.057,2016-05-05
263,0.0,0.0,1.0,0.0,2016-05-12
264,0.0,0.064,0.872,0.064,2016-05-16
265,0.296,0.0,0.879,0.121,2016-05-25
266,0.5574,0.0,0.865,0.135,2016-05-27
267,-0.4767,0.171,0.829,0.0,2016-05-28
268,-0.9776,0.184,0.757,0.059,2016-06-07
269,0.0,0.0,1.0,0.0,2016-06-09
270,0.8402,0.0,0.8,0.2,2016-06-10
271,0.0875,0.103,0.751,0.146,2016-06-16
272,0.0,0.0,1.0,0.0,2016-06-21
273,0.0516,0.176,0.6,0.224,2016-06-27
274,-0.952,0.205,0.739,0.056,2016-06-29
275,-0.0,0.066,0.868,0.066,2016-06-30
276,0.296,0.0,0.891,0.109,2016-07-02
277,0.3818,0.073,0.795,0.132,2016-07-07
278,0.1779,0.0,0.841,0.159,2016-07-11
279,0.9186,0.097,0.64,0.263,2016-07-15
280,0.875,0.0,0.871,0.129,2016-07-22
281,0.6124,0.0,0.706,0.294,2016-07-25
282,0.3818,0.0,0.833,0.167,2016-07-26
283,0.802,0.0,0.823,0.177,2016-07-27
284,-0.7845,0.119,0.862,0.019,2016-07-28
285,0.4588,0.044,0.893,0.062,2016-07-29
286,0.296,0.0,0.944,0.056,2016-08-01
287,-0.7003,0.072,0.906,0.022,2016-08-02
288,0.6705,0.042,0.845,0.113,2016-08-03
289,0.7783,0.11,0.709,0.181,2016-08-05
290,-0.5423,0.189,0.811,0.0,2016-08-08
291,0.2263,0.061,0.868,0.071,2016-08-12
292,-0.6124,0.164,0.784,0.052,2016-08-24
293,-0.6249,0.164,0.836,0.0,2016-08-30
294,-0.8442,0.142,0.819,0.039,2016-09-02
295,0.4215,0.0,0.781,0.219,2016-09-07
296,0.0,0.0,1.0,0.0,2016-09-15
297,0.0,0.0,1.0,0.0,2016-09-16
298,0.0,0.0,1.0,0.0,2016-09-19
299,0.765,0.098,0.651,0.251,2016-09-20
300,0.296,0.116,0.711,0.174,2016-09-27
301,0.5574,0.0,0.896,0.104,2016-10-07
302,-0.9371,0.285,0.671,0.044,2016-10-09
303,-0.6808,0.174,0.762,0.064,2016-10-10
304,-0.8555,0.114,0.822,0.065,2016-10-11
305,0.0,0.0,1.0,0.0,2016-10-12
306,0.0516,0.0,0.971,0.029,2016-10-19
307,0.0,0.0,1.0,0.0,2016-10-20
308,-0.8402,0.182,0.707,0.111,2016-10-21
309,0.0,0.0,1.0,0.0,2016-10-24
310,-0.6369,0.126,0.753,0.121,2016-10-25
311,-0.3818,0.167,0.833,0.0,2016-10-27
312,0.8176,0.0,0.939,0.061,2016-10-28
313,0.3182,0.0,0.941,0.059,2016-11-05
314,-0.4404,0.233,0.635,0.132,2016-11-12
315,-0.4767,0.173,0.746,0.081,2016-11-14
316,-0.296,0.128,0.872,0.0,2016-11-15
317,0.3818,0.076,0.795,0.129,2016-11-18
318,0.8591,0.0,0.656,0.344,2016-11-23
319,0.1531,0.074,0.808,0.118,2016-11-28
320,-0.0173,0.159,0.66,0.182,2016-12-02
321,0.6908,0.057,0.746,0.197,2016-12-16
322,0.0,0.0,1.0,0.0,2017-01-09
323,-0.4007,0.119,0.75,0.131,2017-01-11
324,-0.875,0.204,0.753,0.043,2017-01-12
325,-0.2732,0.171,0.66,0.169,2017-01-20
326,-0.8542,0.142,0.722,0.135,2017-01-21
327,-0.1027,0.181,0.652,0.167,2017-01-23
328,-0.9403,0.208,0.792,0.0,2017-01-27
329,0.0,0.0,1.0,0.0,2017-01-28
330,-0.5719,0.152,0.708,0.139,2017-02-01
331,-0.25,0.124,0.753,0.124,2017-02-02
332,-0.6597,0.241,0.625,0.134,2017-02-03
333,-0.3818,0.182,0.702,0.116,2017-02-06
334,0.2023,0.0,0.93,0.07,2017-02-14
335,-0.7579,0.121,0.801,0.078,2017-02-15
336,0.0,0.0,1.0,0.0,2017-02-23
337,0.0516,0.134,0.744,0.122,2017-02-24
338,0.0,0.0,1.0,0.0,2017-02-25
339,0.1195,0.094,0.801,0.105,2017-03-01
340,0.4019,0.0,0.881,0.119,2017-03-06
341,-0.8885,0.107,0.856,0.038,2017-03-15
342,-0.9607,0.205,0.775,0.02,2017-03-22
343,-0.7906,0.237,0.763,0.0,2017-03-23
344,0.8126,0.054,0.765,0.182,2017-03-24
345,0.0,0.0,1.0,0.0,2017-03-31
346,-0.8947,0.104,0.865,0.031,2017-04-07
347,-0.8519,0.101,0.882,0.017,2017-04-11
348,0.0,0.0,1.0,0.0,2017-04-18
349,0.0,0.0,1.0,0.0,2017-04-21
350,-0.6124,0.357,0.643,0.0,2017-04-24
351,-0.4588,0.238,0.617,0.145,2017-04-25
352,0.25,0.057,0.873,0.07,2017-04-26
353,0.8126,0.0,0.934,0.066,2017-04-27
354,0.5574,0.105,0.755,0.141,2017-05-03
355,0.836,0.094,0.77,0.136,2017-05-02
356,0.4939,0.0,0.802,0.198,2017-05-04
357,0.6124,0.0,0.844,0.156,2017-05-10
358,-0.8779,0.192,0.651,0.156,2017-05-11
359,-0.5719,0.219,0.595,0.186,2017-05-12
360,0.0772,0.12,0.779,0.101,2017-05-17
361,-0.988,0.169,0.75,0.081,2017-05-18
362,0.0258,0.144,0.684,0.171,2017-05-19
363,0.0343,0.073,0.851,0.076,2017-05-22
364,-0.7906,0.108,0.843,0.049,2017-05-23
365,-0.9337,0.135,0.794,0.071,2017-05-24
366,0.5719,0.0,0.734,0.266,2017-05-25
367,0.0,0.0,1.0,0.0,2017-05-26
368,0.2103,0.123,0.702,0.175,2017-05-31
369,0.0,0.0,1.0,0.0,2017-06-02
370,-0.5994,0.132,0.81,0.058,2017-06-05
371,-0.7373,0.087,0.855,0.058,2017-06-13
372,0.4939,0.0,0.862,0.138,2017-06-16
373,-0.296,0.084,0.856,0.061,2017-06-21
374,0.743,0.033,0.835,0.132,2017-06-22
375,-0.948,0.184,0.761,0.055,2017-06-27
376,0.9528,0.0,0.748,0.252,2017-06-29
377,-0.6597,0.037,0.963,0.0,2017-07-06
378,-0.6597,0.095,0.905,0.0,2017-07-07
379,0.7506,0.0,0.842,0.158,2017-07-10
380,0.4404,0.0,0.873,0.127,2017-07-13
381,0.0,0.0,1.0,0.0,2017-07-17
382,0.6124,0.0,0.75,0.25,2017-07-20
383,0.8555,0.043,0.8,0.156,2017-07-21
384,0.0,0.0,1.0,0.0,2017-07-22
385,0.6808,0.0,0.96,0.04,2017-07-24
386,-0.3612,0.065,0.864,0.071,2017-07-25
387,0.296,0.0,0.855,0.145,2017-07-26
388,0.0,0.0,1.0,0.0,2017-07-27
389,-0.8442,0.151,0.745,0.104,2017-07-28
390,-0.6597,0.196,0.804,0.0,2017-07-31
391,-0.9325,0.169,0.831,0.0,2017-08-04
392,0.0,0.0,1.0,0.0,2017-08-07
393,-0.5859,0.202,0.798,0.0,2017-08-09
394,-0.9612,0.135,0.865,0.0,2017-08-14
395,-0.9709,0.182,0.818,0.0,2017-08-15
396,0.9432,0.028,0.75,0.222,2017-08-17
397,-0.9349,0.105,0.895,0.0,2017-08-18
398,-0.9287,0.227,0.773,0.0,2017-08-29
399,0.1027,0.146,0.629,0.225,2017-09-05
400,-0.5994,0.064,0.902,0.034,2017-09-07
401,0.4939,0.0,0.894,0.106,2017-09-11
402,0.0,0.0,1.0,0.0,2017-09-13
403,0.2023,0.114,0.699,0.187,2017-09-23
404,0.0,0.0,1.0,0.0,2017-09-29
405,-0.6249,0.053,0.934,0.013,2017-10-03
406,-0.8957,0.246,0.628,0.126,2017-10-05
407,0.0,0.0,1.0,0.0,2017-10-10
408,-0.8236,0.114,0.886,0.0,2017-10-12
409,-0.6597,0.145,0.855,0.0,2017-10-16
410,-0.9517,0.173,0.733,0.094,2017-10-18
411,-0.891,0.175,0.825,0.0,2017-10-20
412,0.9136,0.051,0.805,0.145,2017-10-21
413,0.0,0.0,1.0,0.0,2017-10-23
414,0.3182,0.0,0.887,0.113,2017-10-25
415,0.8779,0.0,0.876,0.124,2017-10-26
416,-0.9784,0.178,0.799,0.023,2017-10-27
417,-0.9042,0.139,0.819,0.042,2017-10-28
418,-0.7096,0.093,0.821,0.086,2017-10-30
419,-0.2732,0.132,0.8,0.068,2017-10-31
420,0.0,0.0,1.0,0.0,2017-11-06
421,0.0258,0.052,0.867,0.08,2017-11-07
422,-0.2732,0.126,0.791,0.083,2017-11-08
423,0.872,0.031,0.851,0.118,2017-11-09
424,0.6124,0.0,0.886,0.114,2017-11-14
425,0.6124,0.0,0.861,0.139,2017-11-16
426,-0.128,0.087,0.821,0.091,2017-11-27
