date,time,title,abstract
2014-04-17,11:15 PM,UPDATE 1-Patent consortium Rockstar loses bid to move Google case,"SAN FRANCISCO, April 17 A U.S. judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc's home turf in California to Texas, according to a court ruling."
2014-04-17,12:01 AM,UPDATE 2-Patent consortium Rockstar loses bid to move Google case,"SAN FRANCISCO, April 17 A U.S. judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc's home turf in California to Texas, according to a court ruling."
2014-04-17,10:35 PM,Patent consortium Rockstar loses bid to move Google case,"SAN FRANCISCO A U.S. judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc's home turf in California to Texas, according to a court ruling."
2014-04-21,3:55 AM,"Apple, Google vie to offer exclusive game apps - WSJ","April 20 Apple Inc and Google Inc  are wooing game developers to ensure that top game titles arrive first on devices powered by their respective operating system, the Wall Street Journal reported, citing people familiar with the matter."
2014-04-21,6:35 AM,Mobile payment startup Square plans sale as losses widen - WSJ,"April 21 Square Inc has been in talks with several rivals for a possible sale as the mobile payments startup looks to stem widening losses and dwindling cash, the Wall Street Journal reported, citing people familiar with the matter."
2014-04-21,6:40 AM,Mobile payment startup Square plans sale as losses widen: WSJ,"Square Inc has been in talks with several rivals for a possible sale as the mobile payments startup looks to stem widening losses and dwindling cash, the Wall Street Journal reported, citing people familiar with the matter."
2014-04-21,11:36 AM,US STOCKS-Futures edge up as investors await earnings onslaught,* S&P 500 coming off biggest weekly percentage gain since July
2014-04-21,12:45 PM,US STOCKS-Futures flat as investors await earnings onslaught,* S&P 500 coming off biggest weekly percentage gain since July
2014-04-21,3:30 PM,COLUMN-Climate is right for clean energy firms,"(The opinions expressed here are those of the author, a columnist for Reuters.)"
2014-04-21,4:05 AM,"Apple, Google vie to offer exclusive game apps: WSJ","Apple Inc and Google Inc are wooing game developers to ensure that top game titles arrive first on devices powered by their respective operating system, the Wall Street Journal reported, citing people familiar with the matter."
2014-04-22,7:31 PM,Google extends reach into mobile apps with new ad feature,"SAN FRANCISCO, April 22 Google Inc  will allow marketers to run online ads that send consumers to a page directly inside a mobile app, furthering the Internet company's effort to extend its multibillion-dollar advertising business to smartphones."
2014-04-23,1:36 PM,RWE eyes bigger role in energy saving business,"ESSEN, Germany, April 23 German utility RWE  plans to sell more energy saving products, its head of strategy said, as it strives to offset some of the losses made by its power plants across Europe."
2014-04-24,4:56 AM,PRESS DIGEST- New York Times business news - April 24,April 24 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy.
2014-04-24,4:01 PM,UPDATE 1-Big tech companies offer millions after Heartbleed crisis,(Adds comments from Google and Linux Foundation officials)
2014-04-24,5:26 PM,Google executive Gundotra leaving company,"SAN FRANCISCO, April 24 Google Inc   executive Vic Gundotra announced on Thursday that he is leaving the Internet search company after eight years.    (Reporting by Alexei Oreskovic)"
2014-04-24,7:31 PM,"Apple, Google agree to settle antitrust lawsuit over hiring deals-filing","SAN FRANCISCO, April 24 Four major tech companies including Apple and Google have agreed to settle a large antitrust lawsuit over no-hire agreements in Silicon Valley, according to a court filing on Thursday."
2014-04-24,5:47 PM,UPDATE 2-Google social networking boss Gundotra leaving company,"SAN FRANCISCO, April 24 Google Inc's   head of social networking services, Vic Gundotra, is leaving the Internet search company, he said on Thursday, three years after overseeing the launch of the Google+ social network."
2014-04-24,5:31 PM,Google social networking boss Gundotra leaving company,"SAN FRANCISCO Google Inc's head of social networking services, Vic Gundotra, is leaving the Internet search company, he said on Thursday, three years after overseeing the launch of the Google+ social network."
2014-04-24,7:38 PM,"Apple, Google agree to settle lawsuit alleging hiring conspiracy","SAN FRANCISCO Four major tech companies including Apple and Google have agreed to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley, just weeks before a high profile trial had been scheduled to begin."
2014-04-24,7:37 PM,"EXCLUSIVE-Apple, Google agree to pay over $300 mln to settle conspiracy lawsuit","SAN FRANCISCO, April 24 Four major tech companies including Apple and Google have agreed to pay a total of $324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley, sources familiar with the deal said, just weeks before a high profile trial had been scheduled to begin."
2014-04-24,9:31 PM,"Exclusive: Apple, Google agree to pay over $300 million to settle conspiracy lawsuit","SAN FRANCISCO Four major tech companies including Apple and Google have agreed to pay a total of $324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley, sources familiar with the deal said, just weeks before a high profile trial had been scheduled to begin."
2014-04-25,1:50 AM,"Exclusive: Apple, Google to pay $324 million to settle conspiracy lawsuit","SAN FRANCISCO Four major tech companies including Apple and Google have agreed to pay a total of $324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley, sources familiar with the deal said, just weeks before a high profile trial had been scheduled to begin."
2014-04-25,3:50 PM,U.S. appeals court revives an Apple patent lawsuit against Google,"WASHINGTON, April 25 A U.S. appeals court on Friday revived patent claims Apple made against Google subsidiary Motorola Mobility over mobile phone technology that had been dismissed by an Illinois court."
2014-04-25,4:40 PM,UPDATE 2-U.S. appeals court revives Apple patent lawsuit against Google,"WASHINGTON, April 25 A U.S. appeals court on Friday revived patent claims Apple made against Google's Motorola Mobility unit that had been dismissed shortly before trial, giving the iPhone maker another chance to seek a sales ban against its smartphone competitor."
2014-04-25,3:50 PM,U.S. appeals court revives Apple patent lawsuit against Google,"WASHINGTON A U.S. appeals court on Friday revived patent claims Apple made against Google's Motorola Mobility unit that had been dismissed shortly before trial, giving the iPhone maker another chance to seek a sales ban against its smartphone competitor."
2014-04-28,5:45 PM,Google says self-driving car tests now focused on city driving,"SAN FRANCISCO, April 28 Google Inc  said it has begun testing its self-driving cars on city streets, a crucial new phase in its quest to eventually make the technology a standard feature in automobiles."
2014-04-28,5:50 PM,Google says self-driving car tests now focused on city driving,"SAN FRANCISCO Google Inc said it has begun testing its self-driving cars on city streets, a crucial new phase in its quest to eventually make the technology a standard feature in automobiles."
2014-04-29,3:55 AM,"Microsoft raises cloud pitch, targets Dropbox, Box","April 28 Microsoft Corp said it will increase its cloud storage offering for business users by 40-fold as the world's largest software company makes a case for businesses buying an all-in-one product from itself rather than buying technology ""piecemeal"" from multiple sellers."
2014-04-29,6:45 PM,"UPDATE 2-Apple, Samsung make final pitches to U.S. jury in patent trial","SAN JOSE, Calif., April 29 Apple has vastly exaggerated the importance of its patented iPhone features, a Samsung attorney said on Tuesday as the two companies delivered closing arguments to jurors after a month-long trial over mobile technology."
2014-04-30,7:42 PM,"Facebook launches mobile ad network to vie with Google, Twitter","SAN FRANCISCO, April 30 Facebook Inc  rolled out a new service that it envisions will distribute ads across a network of mobile applications, opening the door to a new source of revenue for the Internet social network."
2014-04-30,7:46 PM,Success brings sanctions for Putin's judo partner,* Sanctioned businessman is Putin's childhood judo partner
2014-04-30,7:55 PM,Success brings sanctions for Putin's judo partner,"MOSCOW Fortune has smiled on judo coach Arkady Rotenberg, bringing his businesses Google-like growth and a key role in staging the Winter Olympics. It has now brought down on him the wrath of the United States government."
2014-04-30,7:51 PM,Facebook lets users limit data shared with apps,"SAN FRANCISCO Facebook introduced new features on Wednesday that let users limit how much personal information they share with third-party mobile apps, a move meant to quell privacy concerns as the social network seeks to become a top entry port to the Internet."
2014-05-01,11:56 AM,UPDATE 2-Lazard profit doubles as global M&A volumes soar,"* M&A and other advisory fees double   (Updates share price, adds Breakingviews link)"
2014-05-01,4:01 AM,RPT-Success brings sanctions for Putin's judo partner,* Sanctioned businessman is Putin's childhood judo partner
2014-05-02,3:55 AM,Google faces antitrust lawsuit on US mobile internet search,"May 1 Consumer rights law firm Hagens Berman said it filed a nationwide antitrust class-action lawsuit against Google Inc alleging the company ""illegally monopolized"" the Internet and mobile search market in the United States."
2014-05-02,6:17 AM,UPDATE 1-Google faces antitrust lawsuit on US mobile internet search,"May 2 Consumer rights law firm Hagens Berman said it filed a nationwide antitrust class-action lawsuit against Google Inc alleging the company ""illegally monopolized"" the Internet and mobile search market in the United States."
2014-05-02,3:59 AM,Google faces antitrust lawsuit on U.S. mobile internet search,"Consumer rights law firm Hagens Berman said it filed a nationwide antitrust class-action lawsuit against Google Inc alleging the company ""illegally monopolized"" the Internet and mobile search market in the United States."
2014-05-02,12:01 AM,Activists sue San Francisco over controversial tech bus program,"SAN FRANCISCO, May 2 Activists have sued the city and county of San Francisco over a pilot program giving shuttles run by Google and other private companies access to municipal bus stops, claiming it favors higher-paid technology workers over low-income residents."
2014-05-02,12:01 AM,Activists sue San Francisco over controversial tech bus program,"SAN FRANCISCO Activists have sued the city and county of San Francisco over a pilot program giving shuttles run by Google and other private companies access to municipal bus stops, claiming it favors higher-paid technology workers over low-income residents."
2014-05-03,1:10 AM,Activists sue San Francisco over controversial tech bus program,"SAN FRANCISCO Activists have sued the city and county of San Francisco over a pilot program giving shuttles run by Google and other private companies access to municipal bus stops, claiming it favors higher-paid technology workers over low-income residents."
2014-05-07,5:20 AM,HP to invest over $1 bln in open-source cloud computing,May 7 Hewlett-Packard Co said it plans to invest more than $1 billion over the next two years to develop and offer cloud-computing products and services.
2014-05-07,5:21 AM,HP to invest over $1 billion in open-source cloud computing,Hewlett-Packard Co said it plans to invest more than $1 billion over the next two years to develop and offer cloud-computing products and services.
2014-05-07,10:20 PM,Tech firms write to U.S. FCC to oppose 'net neutrality' plan,"WASHINGTON Over 100 leading technology companies, including Google Inc, Facebook Inc, Twitter Inc and Amazon.com Inc, have written to U.S. telecom regulators to oppose a new ""net neutrality"" plan that would regulate how Internet providers manage web traffic."
2014-05-08,1:20 AM,Tech companies urge U.S. FCC to scrap 'net neutrality' plan,"WASHINGTON More than 100 technology companies, including Google Inc, Facebook Inc, Twitter Inc and Amazon.com Inc, have written to U.S. telecom regulators to oppose a new ""net neutrality"" plan that would regulate how Internet providers manage Web traffic."
2014-05-11,1:19 PM,"As big ad deal falls apart, firms start thinking small",NEW YORK/LONDON The collapse of the $35 billion merger of New York-based Omnicom with France's Publicis is likely to lead the world's biggest ad agencies to think small as they try to counter the challenge from internet giants like Google.
2014-05-12,7:17 AM,Plaintiff in tech hiring suit asks judge to reject settlement,May 12 One of the plaintiffs in a lawsuit that accuses tech firms including Apple Inc and Google Inc  of conspiring to hold down salaries has asked the court to reject a $324 million settlement negotiated by his own lawyers.
2014-05-12,7:24 AM,Plaintiff in tech hiring suit asks judge to reject settlement,One of the plaintiffs in a lawsuit that accuses tech firms including Apple Inc and Google Inc of conspiring to hold down salaries has asked the court to reject a $324 million settlement negotiated by his own lawyers.
2014-05-14,12:56 AM,Google hopes test drives steer Americans to embrace its robot cars,"MOUNTAIN VIEW, Calif., May 13 Google Inc's   self-driving car technology likely will not be available for several more years. But the Internet company is already beginning the job of making the public comfortable with the futuristic vehicles."
2014-05-14,1:35 AM,Google Glass goes back on sale in U.S. but still in beta,"May 13 Anyone in the United States with $1,500 can now buy Google Inc's still-in-beta Google Glass, the Internet company said on a blogpost on Tuesday."
2014-05-14,1:04 AM,Google hopes test drives steer Americans to embrace its robot cars,"MOUNTAIN VIEW, California Google Inc's self-driving car technology likely will not be available for several more years. But the Internet company is already beginning the job of making the public comfortable with the futuristic vehicles."
2014-05-14,6:26 PM,Google gets take-down requests after European court ruling-source,"SAN FRANCISCO, May 14 Google Inc is already getting requests to remove objectionable personal information from its search engine after Europe's top court ruled that subjects have the ""right to be forgotten,"" a source familiar with the matter said on Wednesday."
2014-05-14,8:26 PM,CORRECTED-UPDATE 2-Google gets take-down requests after European court ruling -source,(Corrects number of citizens in third paragraph to 500 million from 500)
2014-05-14,6:31 PM,Google gets take-down requests after European court ruling: source,"SAN FRANCISCO Google Inc is already getting requests to remove objectionable personal information from its search engine after Europe's top court ruled that subjects have the ""right to be forgotten,"" a source familiar with the matter said on Wednesday."
2014-05-15,10:10 PM,Major U.S. hedge funds sold 'momentum' Internet names in 1st qtr,"NEW YORK, May 15 Top hedge funds shed their stakes in high-profile Internet names such as Netflix Inc  and Groupon Inc in the first quarter, moving to peers viewed as more mature and less volatile."
2014-05-15,9:46 AM,EU's Almunia sees Google antitrust decision after summer break,"ST GALLEN, Switzerland, May 15 EU regulators plan to issue a final decision on their competition probe into Google after the summer break, the EU's antitrust chief said, after rivals such as Microsoft complained about how Google displays Internet search results."
2014-05-16,11:11 PM,"Apple, Google agree to settle smartphone patent litigation","SAN FRANCISCO, May 16 Apple and Google's Motorola Mobility unit have agreed to dismiss high profile U.S. patent litigation against each other over smartphone technology, according to a court filing on Friday."
2014-05-16,11:46 PM,"UPDATE 1-Apple, Google settle smartphone patent litigation","SAN FRANCISCO, May 16 Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology, ending one of the highest profile lawsuits in technology."
2014-05-16,11:14 PM,"Apple, Google settle smartphone patent litigation","SAN FRANCISCO Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology, ending one of the highest profile lawsuits in technology."
2014-05-17,12:50 AM,"UPDATE 2-Apple, Google settle smartphone patent litigation","(Adds additional details about smartphone market, in paragraphs 6-8, 11, 13)"
2014-05-17,12:51 AM,"Apple, Google settle smartphone patent litigation","SAN FRANCISCO Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphones, ending one of the highest-profile lawsuits in technology."
2014-05-17,12:30 PM,EU President hopeful Schulz urges checks on Google's power,"BERLIN, May 17 Martin Schulz, the centre-left's candidate to lead the European Commission after EU parliamentary elections this month, has joined calls for Google's  market dominance to be subject to strict regulation."
2014-05-17,2:45 PM,"Italy investigates mobile app practices at Apple, Google, Amazon","MILAN, May 17 U.S. tech giants Apple, Google and Amazon and French game developer Gameloft are under investigation in Italy for alleged unfair commercial practices, the country's antitrust and competition authority said."
2014-05-17,2:54 PM,"Italy investigates mobile app practices at Apple, Google, Amazon","MILAN U.S. tech giants Apple, Google and Amazon and French game developer Gameloft are under investigation in Italy for alleged unfair commercial practices, the country's antitrust and competition authority said."
2014-05-19,1:30 AM,Google said to be in talks to buy streaming-video site Twitch -WSJ,"May 18 Google Inc was said to be in talks to acquire video-streaming service Twitch, according to a report in The Wall Street Journal on Sunday."
2014-05-19,2:30 AM,RPT-Google said to be in talks to buy streaming-video site Twitch -WSJ,(Repeats to additional subscribers with no change of text)
2014-05-19,4:40 PM,BRIEF-Mobile company divide announces acquisition by Google Inc,May 19 Google Inc :  * Mobile company divide announces acquisition by Google Inc
2014-05-19,5:20 PM,Google acquires mobile service company Divide,"SAN FRANCISCO, May 19 Google Inc said it has acquired Divide, a company whose software allows corporations to manage the personal smartphones that consumers increasingly use on the job."
2014-05-19,5:21 PM,Google acquires mobile service company Divide,"SAN FRANCISCO Google Inc said it has acquired Divide, a company whose software allows corporations to manage the personal smartphones that consumers increasingly use on the job."
2014-05-19,6:10 PM,UPDATE 1-Google's YouTube to buy streaming-video site Twitch for $1 bln - Variety,"May 19 Google Inc's  YouTube unit has reached a deal to acquire videogame-streaming service Twitch for more than $1 billion, according to a report in Variety, the entertainment news publication."
2014-05-21,8:20 PM,"Recall by Google's Nest reveals 440,000 fire alarms shipped in U.S.","SAN FRANCISCO, May 21 Google Inc's  Nest Labs is recalling 440,000 smoke detectors, according to a U.S. government notice on Wednesday that provides the first public revelation of how many of the smart home appliances have shipped since sales started in November."
2014-05-22,12:15 AM,Google plans to offer Wi-Fi access equipment to businesses -report,"May 22 Google Inc plans to offer Wi-Fi network hardware and software at a discount to small and medium-sized businesses, tech blog The Information reported on Wednesday, citing a confidential document it accessed and a person who was briefed on the project."
2014-05-23,4:00 AM,Google developing tablet with advanced vision capabilities - WSJ,"May 22 Google Inc is developing a new 7-inch tablet that can capture 3-D images, and plans to produce about 4,000 of these prototypes beginning next month, the Wall Street Journal reported, citing people briefed on the company's plans."
2014-05-23,4:05 AM,Google developing tablet with advanced vision capabilities - WSJ,"Google Inc  is developing a new 7-inch tablet that can capture 3-D images, and plans to produce about 4,000 of these prototypes beginning next month, the Wall Street Journal reported, citing people briefed on the company's plans."
2014-05-23,8:27 PM,"UPDATE 1-Apple, Google, Intel, Adobe to pay $325 mln to settle hiring lawsuit","(Adds comment from plaintiffs' lawyer, details about plaintiffs)"
2014-05-28,4:20 AM,"Google building self-driving cars with no driver seat, steering wheels","RANCHO PALOS VERDES, Calif., May 27 Google Inc  is building cars that don't have steering wheels, accelerator pedals or brake pedals, in an ambitious expansion of the Internet company's efforts to develop self-driving cars."
2014-05-28,3:15 PM,"Google building self-driving cars with no driver seat, steering wheels","RANCHO PALOS VERDES Calif. Google Inc is building cars that don't have steering wheels, accelerator pedals or brake pedals, in an ambitious expansion of the Internet company's efforts to develop self-driving cars."
2014-05-28,3:30 PM,"Google building self-driving cars with no driver seat, steering wheels","RANCHO PALOS VERDES Calif. Google Inc is building cars that don't have steering wheels, accelerator pedals or brake pedals, in an ambitious expansion of the Internet company's efforts to develop self-driving cars."
2014-05-29,12:45 AM,"Google releases workforce demographics, vows to increase diversity","SAN FRANCISCO, May 28 Google Inc  revealed the gender and racial makeup of its 50,000-strong workforce on Wednesday, disclosing a significantly below-average proportion of minorities and women employees that it said was ""miles from where we want to be."""
2014-05-29,12:55 AM,"Google releases workforce demographics, vows to increase diversity","SAN FRANCISCO Google Inc  revealed the gender and racial makeup of its 50,000-strong workforce on Wednesday, disclosing a significantly below-average proportion of minorities and women employees that it said was ""miles from where we want to be."""
2014-05-29,5:17 AM,Taiwan's Acer launches cloud computing drive in shift from PC reliance,"TAIPEI, May 27 Taiwan's Acer Inc  detailed its long-touted push into cloud computing on Thursday, as the struggling computer maker responds to a shrinking PC market by pitting itself against cloud leaders Amazon.com Inc  and Google Inc."
2014-05-29,9:17 AM,UPDATE 1-Taiwan's Acer launches cloud computing drive in shift from PC reliance,* Chairman Shih to support BYOC after June retirement   (Adds graphic link)
