,compound,neg,neu,pos,trading_date
161,0.7003,0.0,0.854,0.146,2015-03-18
162,0.2023,0.0,0.945,0.055,2015-03-17
163,-0.5267,0.043,0.957,0.0,2015-03-25
164,0.9201,0.044,0.762,0.194,2015-03-24
165,0.8885,0.0,0.855,0.145,2015-03-26
166,-0.0516,0.208,0.615,0.178,2015-04-02
167,0.296,0.0,0.804,0.196,2015-04-14
168,0.5267,0.0,0.927,0.073,2015-04-15
169,0.7269,0.028,0.886,0.086,2015-04-17
170,0.296,0.0,0.925,0.075,2015-04-16
171,0.6124,0.0,0.615,0.385,2015-04-18
172,-0.7184,0.196,0.748,0.056,2015-04-21
173,-0.875,0.152,0.787,0.061,2015-04-20
174,0.4588,0.0,0.909,0.091,2015-04-22
175,-0.0516,0.084,0.863,0.053,2015-04-23
176,-0.0516,0.08,0.87,0.051,2015-04-24
177,0.5267,0.0,0.894,0.106,2015-04-28
178,-0.5574,0.118,0.882,0.0,2015-05-03
179,-0.6369,0.126,0.874,0.0,2015-05-06
180,0.0,0.0,1.0,0.0,2015-05-13
181,-0.505,0.18,0.82,0.0,2015-05-15
182,-0.7351,0.084,0.916,0.0,2015-05-23
183,0.8689,0.0,0.886,0.114,2015-06-10
184,0.5574,0.0,0.878,0.122,2015-06-09
185,-0.4939,0.078,0.871,0.052,2015-06-12
186,0.8316,0.0,0.864,0.136,2015-06-15
187,0.0,0.0,1.0,0.0,2015-06-23
188,0.2732,0.0,0.792,0.208,2015-06-24
189,0.2579,0.051,0.865,0.083,2015-06-25
190,0.2579,0.048,0.873,0.079,2015-06-26
191,0.8957,0.0,0.848,0.152,2015-07-08
192,0.0,0.0,1.0,0.0,2015-07-07
193,0.0,0.0,1.0,0.0,2015-07-14
194,0.4939,0.0,0.938,0.062,2015-07-16
195,0.9501,0.033,0.746,0.222,2015-07-17
196,0.0,0.0,1.0,0.0,2015-07-18
197,0.6124,0.062,0.832,0.106,2015-07-24
198,0.7717,0.031,0.857,0.112,2015-07-30
199,0.0,0.0,1.0,0.0,2015-07-31
200,0.9062,0.056,0.764,0.18,2015-08-28
201,0.0,0.0,1.0,0.0,2015-09-08
202,0.0,0.0,1.0,0.0,2015-09-11
203,0.0,0.0,1.0,0.0,2015-09-22
204,0.6597,0.0,0.881,0.119,2015-10-02
205,0.3612,0.0,0.865,0.135,2015-10-08
206,0.3612,0.0,0.872,0.128,2015-10-09
207,0.3818,0.0,0.925,0.075,2015-10-14
208,0.875,0.0,0.895,0.105,2015-11-05
209,0.0,0.0,1.0,0.0,2015-11-06
210,0.2263,0.0,0.971,0.029,2015-11-09
