,compound,neg,neu,pos,trading_date
254,0.836,0.02,0.912,0.068,2013-12-18
255,0.7579,0.061,0.83,0.109,2013-12-19
256,0.9726,0.0,0.871,0.129,2013-12-20
257,0.9807,0.025,0.846,0.129,2013-12-21
258,-0.802,0.074,0.88,0.045,2013-12-22
259,0.0516,0.039,0.92,0.041,2013-12-23
260,0.8316,0.034,0.883,0.083,2013-12-31
261,0.2263,0.028,0.925,0.047,2014-01-03
262,0.8658,0.019,0.868,0.113,2014-01-04
263,-0.4245,0.091,0.835,0.075,2014-01-05
264,0.4215,0.027,0.932,0.041,2014-01-06
265,0.8555,0.012,0.947,0.041,2014-01-07
266,0.6908,0.0,0.831,0.169,2014-01-08
267,-0.9633,0.119,0.849,0.032,2014-01-09
268,0.2263,0.133,0.73,0.137,2014-01-10
269,0.734,0.036,0.889,0.075,2014-01-11
270,0.8948,0.02,0.922,0.058,2014-01-15
271,0.7506,0.049,0.864,0.087,2014-01-16
272,-0.6669,0.14,0.86,0.0,2014-01-17
273,0.4939,0.0,0.937,0.063,2014-01-19
274,0.8625,0.0,0.929,0.071,2014-01-20
275,0.7096,0.056,0.757,0.187,2014-01-21
276,-0.6059,0.074,0.897,0.029,2014-01-22
277,0.5859,0.051,0.841,0.107,2014-01-23
278,0.8637,0.077,0.81,0.113,2014-01-24
279,0.8347,0.04,0.858,0.102,2014-01-25
280,0.0516,0.055,0.889,0.057,2014-01-27
281,-0.4588,0.062,0.938,0.0,2014-01-28
282,0.8631,0.105,0.765,0.13,2014-01-29
283,0.9529,0.016,0.893,0.091,2014-01-30
284,0.9633,0.031,0.743,0.226,2014-01-31
285,-0.6037,0.114,0.886,0.0,2014-02-04
286,-0.8388,0.083,0.917,0.0,2014-02-05
287,0.5859,0.054,0.871,0.076,2014-02-06
288,0.3008,0.021,0.935,0.044,2014-02-07
289,0.0,0.0,1.0,0.0,2014-02-09
290,0.631,0.012,0.948,0.041,2014-02-10
291,0.5859,0.0,0.932,0.068,2014-02-11
292,0.4404,0.041,0.894,0.066,2014-02-12
293,-0.6613,0.088,0.85,0.061,2014-02-14
294,0.7096,0.0,0.946,0.054,2014-02-19
295,0.6705,0.0,0.887,0.113,2014-02-20
296,0.3818,0.066,0.78,0.154,2014-02-21
297,0.7184,0.027,0.865,0.108,2014-02-22
298,0.891,0.0,0.842,0.158,2014-02-24
299,-0.4019,0.083,0.917,0.0,2014-02-25
300,0.7184,0.059,0.847,0.094,2014-02-26
301,0.5106,0.0,0.915,0.085,2014-02-27
302,0.0972,0.094,0.806,0.1,2014-03-03
303,0.6486,0.03,0.855,0.115,2014-03-04
304,0.985,0.011,0.831,0.158,2014-03-05
305,0.5994,0.0,0.943,0.057,2014-03-06
306,0.1154,0.0,0.99,0.01,2014-03-07
307,0.9408,0.025,0.9,0.075,2014-03-08
308,-0.5267,0.038,0.962,0.0,2014-03-10
309,0.688,0.055,0.864,0.081,2014-03-11
310,0.09,0.018,0.935,0.047,2014-03-12
311,0.8271,0.036,0.875,0.089,2014-03-13
312,0.5859,0.0,0.921,0.079,2014-03-15
313,-0.8519,0.084,0.916,0.0,2014-03-16
314,0.7089,0.05,0.861,0.089,2014-03-19
315,0.8807,0.021,0.871,0.108,2014-03-20
316,0.34,0.065,0.85,0.085,2014-03-21
317,0.0,0.0,1.0,0.0,2014-03-22
