,compound,neg,neu,pos,trading_date
423,0.6486,0.0,0.894,0.106,2017-04-06
424,0.8934,0.021,0.858,0.121,2017-04-13
425,0.7717,0.0,0.839,0.161,2017-04-14
426,0.6124,0.0,0.937,0.063,2017-04-18
427,0.7964,0.04,0.875,0.085,2017-04-21
428,0.3818,0.0,0.92,0.08,2017-04-22
429,0.9682,0.0,0.863,0.137,2017-04-24
430,-0.0772,0.025,0.941,0.034,2017-04-26
431,0.8689,0.0,0.822,0.178,2017-04-29
432,0.0,0.0,1.0,0.0,2017-05-02
433,0.3818,0.0,0.961,0.039,2017-05-04
434,-0.0772,0.118,0.784,0.098,2017-05-09
435,0.0,0.0,1.0,0.0,2017-05-11
436,0.0516,0.025,0.949,0.027,2017-05-10
437,0.9544,0.05,0.745,0.204,2017-05-13
438,0.9517,0.0,0.901,0.099,2017-05-12
439,0.296,0.0,0.896,0.104,2017-05-16
440,0.8765,0.038,0.868,0.094,2017-05-19
441,-0.7964,0.109,0.891,0.0,2017-05-22
442,0.0,0.0,1.0,0.0,2017-05-25
443,0.7506,0.0,0.912,0.088,2017-05-24
444,0.5106,0.0,0.921,0.079,2017-05-31
445,0.6124,0.0,0.919,0.081,2017-06-01
446,0.4215,0.0,0.947,0.053,2017-06-02
447,0.4939,0.0,0.758,0.242,2017-06-08
448,0.3182,0.05,0.885,0.065,2017-06-12
449,0.9935,0.007,0.833,0.161,2017-06-13
450,0.8979,0.031,0.809,0.16,2017-06-14
451,0.0,0.0,1.0,0.0,2017-06-17
452,0.7096,0.0,0.859,0.141,2017-06-18
453,0.8225,0.0,0.854,0.146,2017-06-19
454,0.7096,0.0,0.922,0.078,2017-06-21
455,0.4939,0.0,0.901,0.099,2017-06-20
456,0.0,0.0,1.0,0.0,2017-06-22
457,0.8126,0.0,0.911,0.089,2017-06-23
458,0.0,0.0,1.0,0.0,2017-06-26
459,0.4939,0.0,0.934,0.066,2017-06-27
460,0.0,0.0,1.0,0.0,2017-06-29
461,0.6486,0.0,0.943,0.057,2017-07-03
462,0.34,0.0,0.821,0.179,2017-07-05
463,-0.9423,0.193,0.807,0.0,2017-07-06
464,0.6124,0.0,0.762,0.238,2017-07-11
465,0.4824,0.0,0.806,0.194,2017-07-13
466,0.0,0.0,1.0,0.0,2017-07-14
467,0.0,0.0,1.0,0.0,2017-07-18
468,0.9325,0.0,0.829,0.171,2017-07-20
469,0.4939,0.0,0.929,0.071,2017-07-19
470,0.6124,0.042,0.881,0.077,2017-07-21
471,0.2263,0.0,0.84,0.16,2017-07-22
472,0.4588,0.046,0.841,0.113,2017-07-24
473,0.5994,0.0,0.915,0.085,2017-07-27
474,0.5574,0.03,0.915,0.055,2017-07-28
475,-0.296,0.087,0.913,0.0,2017-08-02
476,0.8658,0.0,0.567,0.433,2017-08-03
477,0.4939,0.0,0.814,0.186,2017-08-08
478,0.3182,0.031,0.917,0.052,2017-08-10
479,0.6486,0.0,0.836,0.164,2017-08-09
480,0.7003,0.0,0.914,0.086,2017-08-11
481,0.9001,0.042,0.775,0.183,2017-08-12
482,0.7351,0.0,0.906,0.094,2017-08-15
483,0.0,0.0,1.0,0.0,2017-08-17
484,0.8442,0.0,0.906,0.094,2017-08-24
485,0.4404,0.0,0.894,0.106,2017-08-23
486,0.5719,0.0,0.81,0.19,2017-08-29
487,0.3818,0.041,0.902,0.057,2017-08-28
488,0.2023,0.043,0.898,0.059,2017-08-30
489,0.8807,0.04,0.813,0.147,2017-08-31
490,0.5574,0.0,0.957,0.043,2017-09-07
491,0.3612,0.0,0.878,0.122,2017-09-09
492,0.5994,0.0,0.902,0.098,2017-09-13
493,0.1027,0.0,0.924,0.076,2017-09-14
494,0.0,0.0,1.0,0.0,2017-09-20
495,0.8442,0.0,0.906,0.094,2017-09-22
496,0.4767,0.0,0.836,0.164,2017-09-25
497,-0.6124,0.072,0.928,0.0,2017-09-27
498,0.8074,0.038,0.85,0.112,2017-09-28
499,0.6486,0.095,0.68,0.225,2017-09-29
500,0.7506,0.0,0.959,0.041,2017-10-03
501,0.0,0.0,1.0,0.0,2017-10-02
502,0.9287,0.008,0.895,0.097,2017-10-07
503,-0.1531,0.034,0.943,0.023,2017-10-09
504,-0.34,0.07,0.93,0.0,2017-10-10
505,0.2732,0.0,0.928,0.072,2017-10-11
506,-0.0772,0.06,0.883,0.058,2017-10-12
507,0.4939,0.0,0.882,0.118,2017-10-16
508,0.7506,0.026,0.889,0.085,2017-10-17
509,0.6808,0.0,0.917,0.083,2017-10-18
510,0.0,0.0,1.0,0.0,2017-10-21
511,0.9201,0.022,0.889,0.089,2017-10-20
512,0.5709,0.042,0.857,0.101,2017-10-24
513,-0.6476,0.111,0.801,0.087,2017-10-23
514,0.6597,0.0,0.953,0.047,2017-10-26
515,0.0,0.0,1.0,0.0,2017-10-25
516,0.0,0.0,1.0,0.0,2017-10-27
517,0.0258,0.0,0.971,0.029,2017-10-30
518,-0.8625,0.13,0.833,0.037,2017-11-03
519,0.0,0.0,1.0,0.0,2017-11-07
520,0.0258,0.0,0.972,0.028,2017-11-08
521,0.8225,0.0,0.925,0.075,2017-11-10
522,0.2263,0.0,0.969,0.031,2017-11-09
523,0.9081,0.037,0.843,0.12,2017-11-11
524,-0.1027,0.09,0.851,0.059,2017-11-12
525,0.5657,0.038,0.906,0.057,2017-11-14
526,0.2815,0.058,0.878,0.064,2017-11-13
527,0.9716,0.013,0.812,0.175,2017-11-15
528,0.9274,0.0,0.853,0.147,2017-11-17
529,-0.8402,0.298,0.652,0.05,2017-11-21
530,0.0,0.0,1.0,0.0,2017-11-22
531,-0.5719,0.028,0.972,0.0,2017-11-29
532,0.3818,0.056,0.867,0.077,2017-12-02
533,-0.3034,0.073,0.886,0.041,2017-12-05
534,0.347,0.046,0.855,0.099,2017-12-06
535,-0.8031,0.081,0.86,0.058,2017-12-07
536,-0.7184,0.123,0.877,0.0,2017-12-08
